Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1394,394,Micah Potter,PF,24,UTA,7,0,7.4,1.4,2.1,0.0,0.4,1.9,2.3,0.6,0.1,0.0,0.3,0.7,3.4
1395,395,Dwight Powell,C,31,DAL,76,64,19.2,2.6,3.5,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7
1396,396,Norman Powell,SG,29,LAC,60,8,26.1,5.7,11.8,0.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17.0
1397,397,Jason Preston,PG,23,LAC,14,0,8.9,1.3,2.9,0.0,0.1,1.4,1.6,1.9,0.1,0.0,0.7,0.5,2.9
1398,398,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0
1399,399,Taurean Prince,SF,28,MIN,54,4,22.1,3.3,7.0,0.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1
1400,400,Payton Pritchard,PG,25,BOS,48,3,13.4,2.1,5.1,0.75,0.5,1.3,1.8,1.3,0.3,0.0,0.8,0.8,5.6
1401,401,Trevelin Queen,SG,25,IND,7,0,10.0,1.0,4.1,1.0,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0
1402,402,Neemias Queta,C,23,SAC,5,0,5.8,1.2,1.8,0.0,1.0,1.2,2.2,0.2,0.0,0.4,0.2,1.4,2.4
1403,403,Immanuel Quickley,PG,23,NYK,81,21,28.9,5.2,11.6,0.819,0.7,3.4,4.2,3.4,1.0,0.2,1.2,2.0,14.9
